Course,Section,Day,Time,Room,Available Slots,Total Slots,Demand,Credits,Probability,Instructors
ME 51,THXY,TTh,4-5:30PM,lab MH,,,,,,"FIBRA, ALBERT"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THRU,TTh,8:30-10AM,lec MH,15,15,40,4.0,0.0,"BERANA, MENANDRO"
ME 62,THRU,TTh,10-11:30AM,lab MH,,,,,,"BERANA, MENANDRO"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THRU,TTh,8:30-10AM,lec MH,15,15,40,4.0,0.0,"BERANA, MENANDRO"
ME 62,THRU,TTh,10-11:30AM,lab MH,,,,,,"BERANA, MENANDRO"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THRU,TTh,8:30-10AM,lec MH,15,15,40,4.0,0.0,"BERANA, MENANDRO"
ME 62,THRU,TTh,10-11:30AM,lab MH,,,,,,"BERANA, MENANDRO"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THRU,TTh,8:30-10AM,lec MH,15,15,40,4.0,0.0,"BERANA, MENANDRO"
ME 62,THRU,TTh,10-11:30AM,lab MH,,,,,,"BERANA, MENANDRO"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THRU,TTh,8:30-10AM,lec MH,15,15,40,4.0,0.0,"BERANA, MENANDRO"
ME 62,THRU,TTh,10-11:30AM,lab MH,,,,,,"BERANA, MENANDRO"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THXY,TTh,2:30-4PM,lec MH,15,15,34,4.0,0.0,"FIBRA, ALBERT"
ME 51,THXY,TTh,4-5:30PM,lab MH,,,,,,"FIBRA, ALBERT"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THRU,TTh,8:30-10AM,lec MH,15,15,40,4.0,0.0,"BERANA, MENANDRO"
ME 62,THRU,TTh,10-11:30AM,lab MH,,,,,,"BERANA, MENANDRO"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THXY,TTh,2:30-4PM,lec MH,15,15,34,4.0,0.0,"FIBRA, ALBERT"
ME 51,THXY,TTh,4-5:30PM,lab MH,,,,,,"FIBRA, ALBERT"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THRU,TTh,8:30-10AM,lec MH,15,15,40,4.0,0.0,"BERANA, MENANDRO"
ME 62,THRU,TTh,10-11:30AM,lab MH,,,,,,"BERANA, MENANDRO"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THXY,TTh,2:30-4PM,lec MH,15,15,34,4.0,0.0,"FIBRA, ALBERT"
ME 51,THXY,TTh,4-5:30PM,lab MH,,,,,,"FIBRA, ALBERT"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THRU,TTh,8:30-10AM,lec MH,15,15,40,4.0,0.0,"BERANA, MENANDRO"
ME 62,THRU,TTh,10-11:30AM,lab MH,,,,,,"BERANA, MENANDRO"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THXY,TTh,2:30-4PM,lec MH,15,15,34,4.0,0.0,"FIBRA, ALBERT"
ME 51,THXY,TTh,4-5:30PM,lab MH,,,,,,"FIBRA, ALBERT"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,19,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,7-8:30AM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THRU,TTh,8:30-10AM,lec MH,15,15,34,4.0,0.0,"BINGABING, REX"
ME 51,THRU,TTh,10-11:30AM,lab MH,,,,,,"BINGABING, REX"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,19,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,7-8:30AM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THRU,TTh,8:30-10AM,lec MH,15,15,34,4.0,0.0,"BINGABING, REX"
ME 51,THRU,TTh,10-11:30AM,lab MH,,,,,,"BINGABING, REX"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,19,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,7-8:30AM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THRU,TTh,8:30-10AM,lec MH,15,15,34,4.0,0.0,"BINGABING, REX"
ME 51,THRU,TTh,10-11:30AM,lab MH,,,,,,"BINGABING, REX"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,19,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,7-8:30AM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THRU,TTh,8:30-10AM,lec MH,15,15,34,4.0,0.0,"BINGABING, REX"
ME 51,THRU,TTh,10-11:30AM,lab MH,,,,,,"BINGABING, REX"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,19,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,7-8:30AM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,19,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,7-8:30AM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,19,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,7-8:30AM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,19,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,7-8:30AM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THRU,TTh,8:30-10AM,lec MH,15,15,34,4.0,0.0,"BINGABING, REX"
ME 51,THRU,TTh,10-11:30AM,lab MH,,,,,,"BINGABING, REX"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THRU,TTh,8:30-10AM,lec MH,15,15,34,4.0,0.0,"BINGABING, REX"
ME 51,THRU,TTh,10-11:30AM,lab MH,,,,,,"BINGABING, REX"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THRU,TTh,8:30-10AM,lec MH,15,15,34,4.0,0.0,"BINGABING, REX"
ME 51,THRU,TTh,10-11:30AM,lab MH,,,,,,"BINGABING, REX"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THRU,TTh,8:30-10AM,lec MH,15,15,34,4.0,0.0,"BINGABING, REX"
ME 51,THRU,TTh,10-11:30AM,lab MH,,,,,,"BINGABING, REX"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THXY,TTh,2:30-4PM,lec IE-ME,15,15,53,4.0,0.0,"FERNANDEZ, KEN BRYAN"
ME 62,THXY,TTh,4-5:30PM,lab IE-ME,,,,,,"FERNANDEZ, KEN BRYAN"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,12,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,11:30AM-1PM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFX,WF,2:30-4PM,lec TBA,25,25,18,3.0,100.0,Concealed
ME 32,WRU,W,8:30-11:30AM,lab IE-ME,12,12,17,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
ME 62,THRU,TTh,8:30-10AM,lec MH,15,15,40,4.0,0.0,"BERANA, MENANDRO"
ME 62,THRU,TTh,10-11:30AM,lab MH,,,,,,"BERANA, MENANDRO"
ME 12,THQ,TTh,7-8:30AM,lec P&G,0,0,19,4.0,-100.0,"MANALO, JERICO"
ME 12,THQ,WF,7-8:30AM,lab ME,,,,,,"MANALO, JERICO"
ME 51,THVW,TTh,11:30AM-1PM,lec IE-ME,15,15,39,4.0,0.0,"LANDICHO, GILDA"
ME 51,THVW,TTh,1-2:30PM,lab IE-ME,,,,,,"LANDICHO, GILDA"
MetE 143,WFW,WF,1-2:30PM,lec TBA,25,25,26,3.0,100.0,Concealed
ME 32,FRU,F,8:30-11:30AM,lab IE-ME,12,12,18,1.0,100.0,"LANDICHO, GILDA"
,,,,,,,,,,
